Date,others_dlr_ibex,USD$KRW_spot,USD$KRW_spot_Lag1,corporate_bond_yield,volatility_dch_sp500,volume_nvi_sp500,daily_fed_funds_Lag1,Open_ibex,High_ibex,momentum_kama_ibex,prime_rate_Lag1,others_cr_ibex,others_dr_ibex,pct_change_shifted_ibex,corporate_bond_yield_Lag1,trend_visual_ichimoku_a_ibex,trend_ichimoku_conv_ibex,volume_vpt_sp500,Brent_crude_oil_price_europe,NASDAQ
2003-01-27,-2.8952726597732177,0.3138378049412243,0.3282477926159669,0.6438199353554024,-1.0764926507654549,-0.6485358687108367,-0.15007233506488157,-1.789212433140273,-1.8176737448345839,-1.7265924295223156,-0.18666744415159775,-1.895791707225364,-2.851488203673838,-2.851488203673839,0.61451625074295,-1.6382986732009128,-1.7323756900035314,-1.1770961608899349,-1.5386654740288706,-1.009005586116933
2003-01-28,-0.8120081960659716,0.39261983034536063,0.31417534219524207,0.6511437801202068,-1.0764926507654549,-0.6485358687108367,-0.09819099861293987,-1.8730533684050579,-1.8944376048174891,-1.7827715519884502,-0.18666744415159775,-1.9306087239354996,-0.816299242475662,-0.8162992424756623,0.6438139465160198,-1.6563105337308879,-1.7687445016674477,-1.161451710309736,-1.5495213111465773,-1.0047186379694422
2003-01-29,-0.18066635350641994,0.34572576760480384,0.39298106455130216,0.687763003944226,-1.0764926507654549,-0.6485358687108367,-0.1385431491866723,-1.9273707015252595,-1.9577766445491962,-1.8256734667826218,-0.18666744415159775,-1.9380917334955992,-0.18781219854510858,-0.18781219854510856,0.6511383704592877,-1.6695878073881547,-1.8126641769953558,-1.1525662021301417,-1.52968133296594,-1.0006928108504505
2003-01-30,0.9402202172277577,0.31758932996046974,0.3460728964822193,0.6511437801202068,-1.0764926507654549,-0.6552956215137387,-0.1212493703693584,-1.9302294682462193,-1.919213354576873,-1.8430149346098772,-0.18666744415159775,-1.8972466452341674,0.9416710503761504,0.9416710503761504,0.6877604901756248,-1.6847954473767812,-1.8305612503790762,-1.1809183094378493,-1.5236919055906535,-1.009745851556949
2003-01-31,-0.8716902907028701,0.31758932996046974,0.31792799564076957,0.6584676248850104,-1.0764926507654549,-0.6552956215137387,-0.10395559155204451,-1.9548674229130483,-1.956273552337547,-1.8630971458186314,-0.18666744415159775,-1.9346099303290842,-0.8754269219874711,-0.8754269219874707,0.6511383704592877,-1.6805957587006835,-1.8305612503790762,-1.1638897111101778,-1.5180768174263222,-1.0101109139657243
2003-02-03,0.830328782838913,0.4957867683745856,0.31792799564076957,0.6511437801202068,-1.0764926507654549,-0.6537348479353265,-0.08089721979562597,-1.9145321743268036,-1.9172957090854736,-1.8680944635760806,-0.18666744415159775,-1.8984937712043912,0.8301579176232221,0.8301579176232234,0.6584627944025551,-1.7068896713954747,-1.8615740166490402,-1.1583072864151582,-1.5412858485055583,-1.009380789148174
2003-02-04,-1.7544235719676713,0.4301350805378061,0.49617903430328447,0.6072007115313832,-1.0764926507654549,-0.6537348479353265,-0.09819099861293987,-1.9039805013463569,-1.933830266537006,-1.8845422468008255,-0.18666744415159775,-1.9734804236158898,-1.7442620708466,-1.7442620708466,0.6511383704592877,-1.708898126877974,-1.8615740166490402,-1.1751084382491899,-1.534547742708361,-1.0138528036556687
2003-02-05,1.5668261468523228,0.404812286657905,0.43050759900656843,0.6438199353554024,-1.0764926507654549,-0.6553144936068392,-0.15007233506488157,-1.9682776957593748,-1.9381321867871102,-1.8859261094241184,-0.18666744415159775,-1.9060808136531566,1.580785615379111,1.58078561537911,0.6071918267996826,-1.706680879841632,-1.8629848640038298,-1.1815867000224989,-1.510590033207214,-1.0150316510173383
2003-02-06,-1.4239014648678636,0.39261983034536063,0.4051771882492633,0.5998768667665795,-1.0764926507654549,-0.6571785507901603,-0.15007233506488157,-1.957050391237704,-1.9522307591198442,-1.8951094766240955,-0.18666744415159775,-1.9668806786544377,-1.4201904433938128,-1.4201904433938122,0.6438139465160198,-1.70832427611583,-1.9003988156727187,-1.1891677021160667,-1.509092676363392,-1.0149733424381588
2003-02-07,-0.9460442459670867,0.5004761746486412,0.39298106455130216,0.5705814877073639,-1.0764926507654549,-0.6600774400643916,-0.1385431491866723,-1.9619883699689638,-1.9922971371583955,-1.908442592022436,-0.18666744415159775,-2.0065306573899786,-0.9490216510564228,-0.9490216510564224,0.5998674028564154,-1.7367702688841566,-1.9410526159243957,-1.199755905577621,-1.4933704295032646,-1.0198560521555255
2003-02-10,-0.2758327822297887,0.6139598064807879,0.5008698511101928,0.6072007115313832,-1.0764926507654549,-0.6579255623629802,-0.15007233506488157,-2.0018038106190335,-2.0274912919258408,-1.915272282630566,-0.18666744415159775,-2.0178070613050836,-0.28290132624258396,-0.2829013262425833,0.5705697070833456,-1.7367702688841566,-1.9631299807337055,-1.1920560590916771,-1.4843862884403343,-1.016253596024488
2003-02-11,1.662737097138202,0.7021206444330356,0.6143876178373725,0.5925530220017757,-1.0787068897424152,-0.6579255623629802,-0.12701396330846304,-1.9888091649736779,-1.9744149023336675,-1.9155582623834162,-0.18666744415159775,-1.9472897632861659,1.6791028441319074,1.6791028441319074,0.6071918267996826,-1.7367702688841566,-1.9631299807337055,-1.2007520803273004,-1.4828889315965126,-1.0165628850097004
2003-02-12,-1.023819371376991,0.6402204816155014,0.7025749738072491,0.5559337981777566,-1.0787068897424152,-0.6615597559685645,-0.14430774212577693,-1.9759186905892792,-2.001989879376529,-1.9169219627340408,-0.18666744415159775,-1.990473054155048,-1.02592135220824,-1.0259213522082407,0.5925429789131481,-1.7312011059186616,-1.9631299807337055,-1.2138907009132938,-1.4847606276512897,-1.0207433566212984
2003-02-13,-0.2855493283458131,0.6786736130627571,0.6406561919560606,0.526638419118541,-1.0846116185783796,-0.6615597559685645,-0.1385431491866723,-2.016409748139986,-1.991726925832048,-1.9207179235940643,-0.18666744415159775,-2.0022173523303963,-0.2926029120581193,-0.29260291205811956,0.555920859196811,-1.7206365961121328,-1.9631299807337055,-1.215848590397566,-1.4559365084077225,-1.021131235430622
2003-02-14,1.889733646225433,0.6130219252259776,0.6791208897727077,0.5779053324721677,-1.094899940660936,-0.6554976770534311,-0.10972018449114913,-1.9918758091347069,-1.9231008079350718,-1.9207601279825797,-0.18666744415159775,-1.9215667434779315,1.9123167696189562,1.9123167696189562,0.5266231634237412,-1.7206365961121328,-1.9660561476257938,-1.1911132304838743,-1.454813490774856,-1.0128336710978383
2003-02-18,0.9591778183191493,0.636468956596256,0.6134494544759916,0.5632576429425603,-1.1026408770526506,-0.6498646666471142,-0.09819099861293987,-1.867076008265805,-1.8426053585639182,-1.9142531740402906,-0.18666744415159775,-1.8216888268900187,0.9609256292426399,0.9609256292426392,0.5778941310266129,-1.70630277105436,-1.9254809352106,-1.1710748861744238,-1.454813490774856,-1.003613310120651
2003-02-19,-1.519689612880132,0.5801960813075878,0.6369035385105332,0.5193145743537367,-1.116817632201684,-0.6519545515003885,-0.06936803391741671,-1.8382281216434406,-1.862560898627963,-1.9141006292541614,-0.18666744415159775,-1.8883089514040177,-1.5142622972722617,-1.5142622972722615,0.5632452831400783,-1.7046072256781692,-1.9254809352106,-1.1773456367658177,-1.4585568828844104,-1.0067112702840062
