Date,trend_ichimoku_a_sp500,volatility_dch_ibex,momentum_roc_ibex,momentum_ppo_hist_ibex,Low_ibex,trend_sma_fast_sp500,volatility_dcl_ibex,volume_adi_sp500,others_cr_sp500,others_dr_sp500,IBEX35_Rolling_Vol_5,IBEX35_Returns_Lag14,Brent_crude_oil_price_europe_Lag1,others_cr_ibex,momentum_ppo_signal_sp500,trend_ema_fast_ibex,volatility_dcl_sp500,Open_ibex,USD$SEK_spot,USD$MXN_spot_Lag1
2003-01-27,-1.0962589384820247,-1.736373462303638,-1.4585540646423891,-1.3663976778521654,-1.8622657376185392,-1.087793424314088,-1.7212380867747563,-1.360950751545168,-1.1375189953509246,-1.38391212839633,1.2563483148337888,-0.7996633872637335,-1.5153666561608303,-1.895791707225364,-0.33207514714273767,-1.7519881863135163,-1.1133643621665819,-1.789212433140273,2.304321686032546,-1.1035145805391078
2003-01-28,-1.0962589384820247,-1.736373462303638,-1.7083704764551522,-1.859835019516078,-1.9166746977401048,-1.0931207693902305,-1.7546642087506643,-1.3594656479015674,-1.1273049884492117,1.0610557731216452,1.322533258996203,1.1205790269466935,-1.5378216849122335,-1.9306087239354996,-0.5219530523286656,-1.78070761130284,-1.1133643621665819,-1.8730533684050579,2.308645166310652,-1.087634254678372
2003-01-29,-1.0977859079417582,-1.736373462303638,-2.057987061248643,-2.112231043565926,-1.9836036999940097,-1.0979989594004167,-1.8227373710908124,-1.3579567368035954,-1.1219301595071023,0.5361165933799336,1.3976883325057445,-0.22405472188050085,-1.5486749488087443,-1.9380917334955992,-0.6909908807098448,-1.8061656215225295,-1.1133643621665819,-1.9273707015252595,2.2740573240858137,-1.0875019186295327
2003-01-30,-1.100683909266067,-1.736373462303638,-1.960197517371408,-1.9808556553047494,-1.9077542464049524,-1.1043002439277412,-1.8227373710908124,-1.3600812235536723,-1.1401694615720548,-1.9438382279613422,1.5629008770254624,0.42272840587458244,-1.528839673411672,-1.8972466452341674,-0.870619740832126,-1.821391900027115,-1.1138566602548619,-1.9302294682462193,2.3583651895088553,-1.0663281508152185
2003-01-31,-1.1042685417833429,-1.736373462303638,-2.1339245935592617,-1.9554491148686888,-1.9320114235958084,-1.1101624017162597,-1.8227373710908124,-1.3583732945909852,-1.129927722345456,1.067743565826337,1.5386391212421096,0.83329398160212,-1.5228516657446314,-1.9346099303290842,-1.02740568745049,-1.8400524625721648,-1.1171385493175279,-1.9548674229130483,2.3972765120117976,-1.09557441760874
2003-02-03,-1.1079346664695173,-1.736373462303638,-2.0338430887294727,-1.6669383156022555,-1.8857403928740724,-1.1146307916033462,-1.8227373710908124,-1.358308723322393,-1.125661115435026,0.42061761256197266,-0.18534638468477765,0.512111197045488,-1.5172379085567809,-1.8984937712043912,-1.1520120215093184,-1.8502582007610597,-1.1171385493175279,-1.9145321743268036,2.3598063496015564,-1.0864432302388172
2003-02-04,-1.1080045087816346,-1.736373462303638,-2.053010110351535,-1.720419423514352,-1.9404624387654723,-1.119755163149552,-1.8227373710908124,-1.3587618957797964,-1.1368540395853113,-1.2104794682116071,0.16599665751851292,-0.16056835683071663,-1.5404414382665634,-1.9734804236158898,-1.2685795653283132,-1.8704876139007254,-1.1172833636666175,-1.9039805013463569,2.260366303205149,-1.0880312628248903
2003-02-05,-1.108681862710604,-1.736373462303638,-1.3901601576596956,-1.3442441030380594,-1.9696230568490078,-1.1242459366019828,-1.8227373710908124,-1.3606438372838219,-1.1411114023874456,-0.48622307143682686,0.3877530268700165,0.7163360441834409,-1.533704929641143,-1.9060808136531566,-1.3796817976383722,-1.8771840640883317,-1.1172833636666175,-1.9682776957593748,2.2942335653836365,-1.0626227414477132
2003-02-06,-1.1162468961114396,-1.736373462303638,-1.6529871692584508,-1.290512121356381,-1.9635718211319007,-1.1280637475970903,-1.8227373710908124,-1.3608789546546838,-1.1461352934134148,-0.5710647921499192,0.567896535759526,1.0971027090836998,-1.50975289897298,-1.9668806786544377,-1.488458692318901,-1.892250641153738,-1.1239823529112174,-1.957050391237704,2.2949541454299873,-1.0962360978529373
2003-02-07,-1.1192961750881942,-1.736373462303638,-1.6058333614323024,-1.3462515359224512,-1.9875162094913157,-1.1318198200839968,-1.8267167654519756,-1.362217752697887,-1.1539481995519167,-0.8761644143692269,0.510097146575889,-1.4700082523680944,-1.5082558970562197,-2.0065306573899786,-1.6020838371707549,-1.911129620531786,-1.130304871980601,-1.9619883699689638,2.3259390874230705,-1.09557441760874
